,user,text,favorite_count,retweet_count,created_at
55,elonmusk,RT @GuntherEagleman: See the difference? https://t.co/zmsETVpOBi,0,14180,2025-04-05 16:20:05+00:00
56,elonmusk,Yes https://t.co/j5DTPkmJ9g,139709,27581,2025-04-05 16:19:04+00:00
57,elonmusk,@chamath True,1261,87,2025-04-05 16:17:40+00:00
58,elonmusk,"RT @LauraLoomer: 🚨 EXCLUSIVE 🚨 

Judge Boasberg’s brother received a $20 million donation from the cofounder of Facebook 5 months ago, 1.5…",0,12535,2025-04-05 16:17:18+00:00
59,elonmusk,"RT @cb_doge: This is another reason why Elon Musk is relentlessly attacked by the media. 𝕏 is taking over the media landscape, making tradi…",0,2852,2025-04-05 15:04:19+00:00
60,elonmusk,"RT @Rainmaker1973: You can have many sexual orientations.

But hundreds years from now, if archeologist find your pelvis bone, they will sa…",0,6056,2025-04-05 14:16:54+00:00
61,elonmusk,"RT @MarioNawfal: 🇺🇸 DOGE VOLUNTEER: ILLEGALS VOTING AND DRAINING BENEFITS—SHOCKING DATA

DOGE volunteer, @AntonioGracias:

""You know, one p…",0,3291,2025-04-05 14:15:41+00:00
62,elonmusk,Like clockwork https://t.co/aEwVQEzrbD,153620,30321,2025-04-05 14:15:03+00:00
63,elonmusk,RT @WesternLensman: 2021: Mayorkas blames the first Trump admin for the surge of illegals at the border; says they have a plan to fix it.…,0,5558,2025-04-05 13:55:31+00:00
64,elonmusk,They will be https://t.co/RboNItSxCe,161825,40530,2025-04-05 13:52:38+00:00
65,elonmusk,"RT @MarcusHouse: Booster 14, will be the first Super Heavy in history to be reused! Awesome static fire! 🔥Not only that, Fram2 was the firs…",0,1326,2025-04-05 13:51:22+00:00
66,elonmusk,"RT @SawyerMerritt: I love my new Model Y. Hands down the best car I’ve ever owned.

Picked it up from the wrap shop yesterday. Gonna take s…",0,948,2025-04-05 13:50:54+00:00
67,elonmusk,"RT @VigilantFox: NEW: Dr. Oz drops bombshells on the massive waste, fraud, and abuse bleeding Medicare and Medicaid—exposing a system that’…",0,10546,2025-04-05 13:50:25+00:00
68,elonmusk,@_Simon_K @DefiyantlyFree He ain’t built shit,2561,253,2025-04-05 05:55:47+00:00
69,elonmusk,@Chesschick01 @DefiyantlyFree Yup,1174,89,2025-04-05 05:55:02+00:00
70,elonmusk,"@DefiyantlyFree A PhD in Econ from Harvard is a bad thing, not a good thing. 

Results in the ego/brains&gt;&gt;1 problem.",4119,439,2025-04-05 05:34:35+00:00
71,elonmusk,@amuse !!,1293,122,2025-04-04 22:05:05+00:00
72,elonmusk,RT @SpaceX: The @framonauts flew aboard Dragon’s 17th human spaceflight mission – with 66 crewmembers now having flown aboard the spacecraf…,0,4556,2025-04-04 22:03:19+00:00
73,elonmusk,Congrats @SpaceX Dragon team! https://t.co/WOCKVhW7Yr,118811,15996,2025-04-04 22:01:45+00:00
74,elonmusk,"@SpaceX @SpaceForceDoD Winning 60% of the missions may sound generous, but the reality is that all SpaceX competitors combined cannot currently deliver the other 40%!

I hope they succeed, but they aren’t there yet.",5907,489,2025-04-04 22:01:20+00:00
75,elonmusk,@nayibbukele 😂,4434,185,2025-04-04 21:59:08+00:00
76,elonmusk,@BowTiedBroke !!,3055,147,2025-04-04 19:50:42+00:00
77,elonmusk,@thatsKAIZEN 😂,1429,77,2025-04-04 19:49:07+00:00
78,elonmusk,@joel_kaplan Cool,2388,73,2025-04-04 19:48:32+00:00
79,elonmusk,"RT @SpaceX: During their time in space, the @framonauts orbited the Earth ~55 times, passing over the poles about every 46 minutes https://…",0,2686,2025-04-04 18:37:52+00:00
80,elonmusk,"RT @SpaceX: Splashdown of Dragon and the @framonauts confirmed – welcome back to Earth @satofishi, @astro_jannicke, @rprogge, and @Icetrek!…",0,3781,2025-04-04 18:37:15+00:00
81,elonmusk,RT @farzyness: DOGE is my favorite government program ever.,0,2704,2025-04-04 18:37:02+00:00
82,elonmusk,The actual number of non-citizens receiving US government benefits is much higher than 1.3M. That number is just what has been found so far. https://t.co/PVP4DK12x3,146725,40647,2025-04-04 18:35:28+00:00
83,elonmusk,@stillgray Seriously,1358,99,2025-04-04 18:25:42+00:00
84,elonmusk,@TobyPhln True,752,44,2025-04-04 18:24:33+00:00
85,elonmusk,Welcome home! https://t.co/zbEqDNT1Ww,156426,19075,2025-04-04 18:23:24+00:00
86,elonmusk,RT @SpaceX: Welcome home @framonauts 👊👊👊👊 https://t.co/U82DtvCPmk,0,2849,2025-04-04 18:23:02+00:00
87,elonmusk,Absolutely https://t.co/5TsK9go27O,109017,30788,2025-04-04 16:53:42+00:00
88,elonmusk,"Dragon crew retuning from polar orbit 
 https://t.co/74OhSMuurQ",58710,10213,2025-04-04 15:22:47+00:00
89,elonmusk,"RT @satofishi: Deorbit, Draco style. https://t.co/Rv3lKomOqB",0,2790,2025-04-04 15:21:39+00:00
90,elonmusk,@MarioNawfal Free car in space if anyone wants it,4421,342,2025-04-04 07:03:56+00:00
91,elonmusk,💯 https://t.co/mEy0kroYsD,162672,33588,2025-04-04 06:42:36+00:00
92,elonmusk,@amuse True,3612,207,2025-04-04 06:42:17+00:00
93,elonmusk,@BasedMikeLee True,1592,135,2025-04-04 06:37:08+00:00
94,elonmusk,"Yeah, his logic makes no sense at all. https://t.co/OrO56k4gEx",109320,18472,2025-04-04 06:36:46+00:00
95,elonmusk,@MikeBenzCyber Small world,2182,234,2025-04-04 05:53:56+00:00
96,elonmusk,💯 https://t.co/jj2qzcFdTy,147284,22102,2025-04-04 05:48:37+00:00
97,elonmusk,@DefiantLs Yes,1652,91,2025-04-04 05:31:32+00:00
98,elonmusk,"@amuse Well, thanks, I guess",1837,111,2025-04-04 05:29:25+00:00
99,elonmusk,@AdrianDittmann True,917,76,2025-04-04 05:24:58+00:00
